length,count
2,1
3,3
5,3
6,1
7,8
8,8
9,12
10,23
11,63
12,59
13,105
14,144
15,214
16,282
17,414
18,523
19,565
20,614
21,641
22,623
23,531
24,488
25,331
26,281
27,153
28,104
29,75
30,56
31,45
32,25
33,10
34,9
36,3
37,1
39,2
41,6
42,1
44,4
