length,count
1,3
2,4
3,8
4,1
5,7
6,37
7,49
8,54
9,61
10,84
11,142
12,308
13,595
14,1174
15,1954
16,3798
17,5272
18,7131
19,7751
20,8678
21,7998
22,7202
23,5881
24,4631
25,3331
26,2380
27,1621
28,1051
29,635
30,399
31,256
32,159
33,104
34,69
35,39
36,28
37,22
38,15
39,15
40,4
41,3
42,3
45,3
