length,count
0,19
1,1
2,1
3,1
4,2
5,1
6,2
7,3
8,6
9,6
10,10
11,19
12,30
13,109
14,248
15,410
16,800
17,1132
18,1627
19,1743
20,1972
21,1932
22,1874
23,1595
24,1296
25,1013
26,733
27,557
28,374
29,211
30,149
31,112
32,82
33,44
34,47
35,23
36,22
37,8
38,5
39,5
40,7
41,3
42,1
