length,count
0,94
1,205
2,305
3,1671
4,13556
5,44313
6,163592
7,54501
8,2391260
9,1549882
10,929125
11,627423
12,368437
13,167757
14,155831
15,77390
16,54153
17,14046
18,15515
19,12623
20,16599
21,10860
22,9978
23,8287
24,6655
25,4894
26,3579
27,2449
28,1631
29,993
30,651
31,445
32,286
33,172
34,136
35,67
36,56
37,33
38,25
39,23
40,19
41,12
42,6
44,5
45,3
