length,count
0,73
1,146
2,163
3,809
4,6874
5,33193
6,83541
7,17700
8,2335307
9,1548965
10,928415
11,626891
12,367824
13,166821
14,154114
15,74643
16,49009
17,6963
18,5866
19,2273
20,5012
21,4
22,13
23,5
24,11
25,3
26,12
27,1
28,5
29,5
30,5
31,1
32,2
36,2
38,2
39,1
40,6
