length,count
6,1
7,4
8,6
9,6
10,6
11,8
12,9
13,9
14,6
15,7
16,3
17,5
18,13
19,26
20,37
21,57
22,67
23,86
24,82
25,87
26,84
27,63
28,56
29,47
30,29
31,21
32,12
33,9
34,4
35,4
37,1
38,1
40,1
42,1
