length,count
10,1
11,3
12,19
13,29
14,77
15,117
16,196
17,204
18,278
19,212
20,218
21,171
22,143
23,122
24,93
25,71
26,56
27,25
28,25
29,14
30,7
31,8
32,4
33,3
34,2
35,1
37,1
38,1
40,1
44,1
